run_id,name,split,scope,metric,value,inter,union,n_valid
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.7120132127955494,8191,11504,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.8132298651397574,10794,13273,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.0,0,1734,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,,0,0,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.8345788640759627,0,0,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,boundary_f1,0.5158409361110121,0,0,22748
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,bedrock,iou,0.9472841282336654,34897,36839,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,big_rock,iou,0.0,0,1942,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,0.9472841282336654,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,0.46100833455537005,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,bedrock,iou,1.0,88991,88991,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,big_rock,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,1.0,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,1.0,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,soil,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,bedrock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,sand,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,big_rock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,soil,iou,1.0,124196,124196,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,bedrock,iou,,0,0,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,sand,iou,,0,0,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,big_rock,iou,,0,0,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,ALL,pixel_acc,1.0,0,0,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,ALL,boundary_f1,1.0,0,0,124196
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,soil,iou,0.6835996407814697,80688,118034,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,bedrock,iou,0.0,0,37346,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,sand,iou,,0,0,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,big_rock,iou,,0,0,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,ALL,pixel_acc,0.6835996407814697,0,0,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601414993edr_f0731482ncam00254m1,test_msl,ALL,boundary_f1,0.41025641025641024,0,0,118034
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,soil,iou,1.0,84983,84983,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,bedrock,iou,,0,0,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,sand,iou,,0,0,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,big_rock,iou,,0,0,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,ALL,pixel_acc,1.0,0,0,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601415225edr_f0731482ncam00254m1,test_msl,ALL,boundary_f1,1.0,0,0,84983
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,msl_ncam_nla_601421002edr_f0731482ccam05295m1,test_msl,soil,iou,1.0,146635,146635,146635
